ts,open,high,low,close,volume,EMA50,EMA200,RSI,ATR,EMA50_slope,Signal,Score,Position,Returns,Equity
2025-08-29 12:15:00+00:00,110271.14,110360.0,110164.0,110340.53,110.54687,110747.07633485345,111841.56098009917,75.79184373800896,203.00714285714326,-16.593727953193593,SELL,-1.0,-1.0,-0.0006292670956336011,100.01959592478495
2025-08-29 12:30:00+00:00,110340.52,111517.07,110340.52,110550.0,1132.12066,110739.34785113372,111828.70962706336,82.04317787036213,267.82285714285746,-7.728483719736687,SELL,-1.0,-1.0,-0.0018983958115843524,100.01769752897336
2025-08-29 12:45:00+00:00,110550.0,110810.34,110510.0,110728.0,201.28837,110738.90283736377,111817.75729246573,81.93642472853418,270.73357142857174,-0.44501376994594466,SELL,-1.0,-1.0,-0.0016101311623699655,100.01608739781099
2025-08-29 13:00:00+00:00,110728.01,110780.57,110500.0,110677.66,139.70848999999998,110736.50115746715,111806.41304079941,78.39438939510697,278.44714285714355,-2.401679896618589,SELL,-1.0,-1.0,0.00045462755581238135,100.0165420253668
2025-08-29 13:15:00+00:00,110677.67,110704.0,110420.01,110503.36,104.65947,110727.35836697825,111793.4473389009,72.41051436984317,287.8978571428587,-9.142790488898754,SELL,-1.0,-1.0,0.001574843559215111,100.01811686892601
2025-08-29 13:30:00+00:00,110503.37,110568.52,109571.42,109716.57,682.24063,110687.7196074889,111772.7818927427,47.37142273446966,342.02000000000197,-39.63875948934583,SELL,-0.6000000000000001,-1.0,0.0071200549919929745,100.02523692391802
2025-08-29 13:45:00+00:00,109716.58,109726.43,108900.0,109106.14,1110.66714,110625.69687778347,111746.24814256615,35.513976272109545,384.5271428571442,-62.02272970543709,SELL,-0.6000000000000001,-1.0,0.005563699266209365,100.03080062318422
2025-08-29 14:00:00+00:00,109106.14,109560.14,108500.0,108759.46,937.3284,110552.5111178704,111716.5288575655,30.270887106002633,448.52428571428754,-73.18575991307443,HOLD,-0.2,-1.0,0.00317745637413247,100.03397807955835
2025-08-29 14:15:00+00:00,108759.46,108960.0,108300.0,108646.72,674.68983,110477.77421128725,111685.98349579869,29.066674047898175,483.14142857143037,-74.73690658314445,HOLD,-0.2,0.0,-0.0,100.03397807955835
2025-08-29 14:30:00+00:00,108646.72,108855.0,108420.0,108564.0,342.77475,110402.72424221717,111654.91898340269,25.716604326210174,496.57500000000226,-75.04996907008172,HOLD,-0.2,0.0,-0.0,100.03397807955835
