EMA_SHORT,EMA_LONG,RSI_OVERSOLD,RSI_OVERBOUGHT,ATR_MULT,WEIGHT_EMA,WEIGHT_RSI,WEIGHT_ATR,n_trades,win_rate,total_pnl,avg_pnl,final_balance
100,200,35,70,1.5,0.3,0.4,0.3,2909.0,0.4922653832932279,0.16621461794589065,1.9237803002996605e-05,100.1662146179459
100,200,35,70,2.0,0.3,0.3,0.3,2909.0,0.4922653832932279,0.16621461794589065,1.9237803002996605e-05,100.1662146179459
100,200,35,70,1.5,0.3,0.5,0.3,2909.0,0.4922653832932279,0.16621461794589065,1.9237803002996605e-05,100.1662146179459
100,200,35,70,2.0,0.3,0.5,0.3,2909.0,0.4922653832932279,0.16621461794589065,1.9237803002996605e-05,100.1662146179459
100,200,35,70,2.5,0.4,0.3,0.3,2909.0,0.4922653832932279,0.16621461794589065,1.9237803002996605e-05,100.1662146179459
100,200,35,70,2.5,0.3,0.5,0.3,2909.0,0.4922653832932279,0.16621461794589065,1.9237803002996605e-05,100.1662146179459
100,200,35,70,2.5,0.3,0.3,0.3,2909.0,0.4922653832932279,0.16621461794589065,1.9237803002996605e-05,100.1662146179459
100,200,35,70,2.5,0.4,0.4,0.3,2909.0,0.4922653832932279,0.16621461794589065,1.9237803002996605e-05,100.1662146179459
100,200,35,70,1.5,0.4,0.3,0.3,2909.0,0.4922653832932279,0.16621461794589065,1.9237803002996605e-05,100.1662146179459
100,200,35,70,2.0,0.3,0.4,0.3,2909.0,0.4922653832932279,0.16621461794589065,1.9237803002996605e-05,100.1662146179459
100,200,35,70,2.5,0.3,0.4,0.3,2909.0,0.4922653832932279,0.16621461794589065,1.9237803002996605e-05,100.1662146179459
100,200,35,70,2.0,0.5,0.3,0.3,2909.0,0.4922653832932279,0.16621461794589065,1.9237803002996605e-05,100.1662146179459
100,200,35,70,2.5,0.5,0.3,0.3,2909.0,0.4922653832932279,0.16621461794589065,1.9237803002996605e-05,100.1662146179459
100,200,35,70,2.0,0.4,0.3,0.3,2909.0,0.4922653832932279,0.16621461794589065,1.9237803002996605e-05,100.1662146179459
100,200,35,70,2.0,0.4,0.4,0.3,2909.0,0.4922653832932279,0.16621461794589065,1.9237803002996605e-05,100.1662146179459
100,200,35,70,1.5,0.5,0.3,0.3,2909.0,0.4922653832932279,0.16621461794589065,1.9237803002996605e-05,100.1662146179459
100,300,30,60,2.0,0.4,0.3,0.3,3709.0,0.4966298193583176,0.1616421959539659,1.8708587494671978e-05,100.16164219595396
100,300,30,60,1.5,0.5,0.3,0.3,3709.0,0.4966298193583176,0.1616421959539659,1.8708587494671978e-05,100.16164219595396
100,300,30,60,1.5,0.4,0.4,0.3,3709.0,0.4966298193583176,0.1616421959539659,1.8708587494671978e-05,100.16164219595396
100,300,30,60,1.5,0.4,0.3,0.3,3709.0,0.4966298193583176,0.1616421959539659,1.8708587494671978e-05,100.16164219595396
100,300,30,60,1.5,0.3,0.5,0.3,3709.0,0.4966298193583176,0.1616421959539659,1.8708587494671978e-05,100.16164219595396
100,300,30,60,1.5,0.3,0.3,0.3,3709.0,0.4966298193583176,0.1616421959539659,1.8708587494671978e-05,100.16164219595396
100,300,30,60,2.0,0.5,0.3,0.3,3709.0,0.4966298193583176,0.1616421959539659,1.8708587494671978e-05,100.16164219595396
100,300,30,60,2.0,0.3,0.3,0.3,3709.0,0.4966298193583176,0.1616421959539659,1.8708587494671978e-05,100.16164219595396
